# Goxel 0.14.0
# One line per voxel
# X Y Z RRGGBB
-7 -11 0 6ba06b
-6 -11 0 6ba06b
-5 -11 0 6ba06b
-4 -11 0 6ba06b
-3 -11 0 6ba06b
-2 -11 0 6ba06b
-1 -11 0 6ba06b
-16 -10 0 6ba06b
-15 -10 0 6ba06b
-14 -10 0 6ba06b
-13 -10 0 6ba06b
-12 -10 0 6ba06b
-11 -10 0 6ba06b
-10 -10 0 6ba06b
-9 -10 0 6ba06b
-8 -10 0 6ba06b
-7 -10 0 6ba06b
-6 -10 0 6ba06b
-5 -10 0 6ba06b
-4 -10 0 6ba06b
-3 -10 0 6ba06b
-2 -10 0 6ba06b
-1 -10 0 6ba06b
-16 -9 0 6ba06b
-15 -9 0 6ba06b
-14 -9 0 6ba06b
-13 -9 0 6ba06b
-12 -9 0 6ba06b
-11 -9 0 6ba06b
-10 -9 0 6ba06b
-9 -9 0 6ba06b
-8 -9 0 6ba06b
-7 -9 0 6ba06b
-6 -9 0 6ba06b
-5 -9 0 6ba06b
-4 -9 0 6ba06b
-3 -9 0 6ba06b
-2 -9 0 6ba06b
-1 -9 0 6ba06b
-16 -8 0 6ba06b
-15 -8 0 6ba06b
-14 -8 0 6ba06b
-13 -8 0 6ba06b
-12 -8 0 6ba06b
-11 -8 0 6ba06b
-10 -8 0 6ba06b
-9 -8 0 6ba06b
-8 -8 0 6ba06b
-7 -8 0 6ba06b
-6 -8 0 6ba06b
-5 -8 0 6ba06b
-4 -8 0 6ba06b
-3 -8 0 6ba06b
-2 -8 0 6ba06b
-1 -8 0 6ba06b
-16 -7 0 6ba06b
-15 -7 0 6ba06b
-14 -7 0 6ba06b
-13 -7 0 6ba06b
-12 -7 0 6ba06b
-11 -7 0 6ba06b
-10 -7 0 6ba06b
-9 -7 0 6ba06b
-8 -7 0 6ba06b
-7 -7 0 6ba06b
-6 -7 0 6ba06b
-5 -7 0 6ba06b
-4 -7 0 6ba06b
-3 -7 0 6ba06b
-2 -7 0 6ba06b
-1 -7 0 6ba06b
-16 -6 0 6ba06b
-15 -6 0 6ba06b
-14 -6 0 6ba06b
-13 -6 0 6ba06b
-12 -6 0 6ba06b
-11 -6 0 6ba06b
-10 -6 0 6ba06b
-9 -6 0 6ba06b
-8 -6 0 6ba06b
-7 -6 0 6ba06b
-6 -6 0 6ba06b
-5 -6 0 6ba06b
-4 -6 0 6ba06b
-3 -6 0 6ba06b
-2 -6 0 6ba06b
-1 -6 0 6ba06b
-16 -5 0 6ba06b
-15 -5 0 6ba06b
-14 -5 0 6ba06b
-13 -5 0 6ba06b
-12 -5 0 6ba06b
-11 -5 0 6ba06b
-10 -5 0 6ba06b
-9 -5 0 6ba06b
-8 -5 0 6ba06b
-7 -5 0 6ba06b
-6 -5 0 6ba06b
-5 -5 0 6ba06b
-4 -5 0 6ba06b
-3 -5 0 6ba06b
-2 -5 0 6ba06b
-1 -5 0 6ba06b
-16 -4 0 6ba06b
-15 -4 0 6ba06b
-14 -4 0 6ba06b
-13 -4 0 6ba06b
-12 -4 0 6ba06b
-11 -4 0 6ba06b
-10 -4 0 6ba06b
-9 -4 0 6ba06b
-8 -4 0 6ba06b
-7 -4 0 6ba06b
-6 -4 0 6ba06b
-5 -4 0 6ba06b
-4 -4 0 6ba06b
-3 -4 0 6ba06b
-2 -4 0 6ba06b
-1 -4 0 6ba06b
-16 -3 0 6ba06b
-15 -3 0 6ba06b
-14 -3 0 6ba06b
-13 -3 0 6ba06b
-12 -3 0 6ba06b
-11 -3 0 6ba06b
-10 -3 0 6ba06b
-9 -3 0 6ba06b
-8 -3 0 6ba06b
-7 -3 0 6ba06b
-6 -3 0 6ba06b
-5 -3 0 6ba06b
-4 -3 0 6ba06b
-3 -3 0 6ba06b
-2 -3 0 6ba06b
-1 -3 0 6ba06b
-16 -2 0 6ba06b
-15 -2 0 6ba06b
-14 -2 0 6ba06b
-13 -2 0 6ba06b
-12 -2 0 6ba06b
-11 -2 0 6ba06b
-10 -2 0 6ba06b
-9 -2 0 6ba06b
-8 -2 0 6ba06b
-7 -2 0 6ba06b
-6 -2 0 6ba06b
-5 -2 0 6ba06b
-4 -2 0 6ba06b
-3 -2 0 6ba06b
-2 -2 0 6ba06b
-16 -1 0 6ba06b
-15 -1 0 6ba06b
-14 -1 0 6ba06b
-13 -1 0 6ba06b
-12 -1 0 6ba06b
-11 -1 0 6ba06b
-10 -1 0 6ba06b
-9 -1 0 6ba06b
-8 -1 0 6ba06b
-7 -1 0 6ba06b
-6 -1 0 6ba06b
-5 -1 0 6ba06b
-4 -1 0 6ba06b
-3 -1 0 6ba06b
-1 -2 1 6a6a6a
-2 -1 1 6a6a6a
-2 -1 2 6a6a6a
-1 -1 2 6a6a6a
-2 -1 3 6a6a6a
-1 -1 3 6a6a6a
-2 -1 4 6a6a6a
-1 -1 4 6a6a6a
-2 -1 5 6a6a6a
-1 -1 5 6a6a6a
0 -16 0 6ba06b
1 -16 0 6ba06b
2 -16 0 6ba06b
3 -16 0 6ba06b
4 -16 0 6ba06b
5 -16 0 6ba06b
6 -16 0 6ba06b
7 -16 0 6ba06b
8 -16 0 6ba06b
9 -16 0 6ba06b
10 -16 0 6ba06b
11 -16 0 6ba06b
12 -16 0 6ba06b
13 -16 0 6ba06b
14 -16 0 6ba06b
15 -16 0 6ba06b
0 -15 0 6ba06b
1 -15 0 6ba06b
2 -15 0 6ba06b
3 -15 0 6ba06b
4 -15 0 6ba06b
5 -15 0 6ba06b
6 -15 0 6ba06b
7 -15 0 6ba06b
8 -15 0 6ba06b
9 -15 0 6ba06b
10 -15 0 6ba06b
11 -15 0 6ba06b
12 -15 0 6ba06b
13 -15 0 6ba06b
14 -15 0 6ba06b
15 -15 0 6ba06b
0 -14 0 6ba06b
1 -14 0 6ba06b
2 -14 0 6ba06b
3 -14 0 6ba06b
4 -14 0 6ba06b
5 -14 0 6ba06b
6 -14 0 6ba06b
7 -14 0 6ba06b
8 -14 0 6ba06b
9 -14 0 6ba06b
10 -14 0 6ba06b
11 -14 0 6ba06b
12 -14 0 6ba06b
13 -14 0 6ba06b
14 -14 0 6ba06b
15 -14 0 6ba06b
0 -13 0 6ba06b
1 -13 0 6ba06b
2 -13 0 6ba06b
3 -13 0 6ba06b
4 -13 0 6ba06b
5 -13 0 6ba06b
6 -13 0 6ba06b
7 -13 0 6ba06b
8 -13 0 6ba06b
9 -13 0 6ba06b
10 -13 0 6ba06b
11 -13 0 6ba06b
12 -13 0 6ba06b
13 -13 0 6ba06b
14 -13 0 6ba06b
15 -13 0 6ba06b
0 -12 0 6ba06b
1 -12 0 6ba06b
2 -12 0 6ba06b
3 -12 0 6ba06b
4 -12 0 6ba06b
5 -12 0 6ba06b
6 -12 0 6ba06b
7 -12 0 6ba06b
8 -12 0 6ba06b
9 -12 0 6ba06b
10 -12 0 6ba06b
11 -12 0 6ba06b
12 -12 0 6ba06b
13 -12 0 6ba06b
14 -12 0 6ba06b
15 -12 0 6ba06b
0 -11 0 6ba06b
1 -11 0 6ba06b
2 -11 0 6ba06b
3 -11 0 6ba06b
4 -11 0 6ba06b
5 -11 0 6ba06b
6 -11 0 6ba06b
7 -11 0 6ba06b
8 -11 0 6ba06b
9 -11 0 6ba06b
10 -11 0 6ba06b
11 -11 0 6ba06b
12 -11 0 6ba06b
13 -11 0 6ba06b
14 -11 0 6ba06b
15 -11 0 6ba06b
0 -10 0 6ba06b
1 -10 0 6ba06b
2 -10 0 6ba06b
3 -10 0 6ba06b
4 -10 0 6ba06b
5 -10 0 6ba06b
6 -10 0 6ba06b
7 -10 0 6ba06b
8 -10 0 6ba06b
9 -10 0 6ba06b
10 -10 0 6ba06b
11 -10 0 6ba06b
12 -10 0 6ba06b
13 -10 0 6ba06b
14 -10 0 6ba06b
15 -10 0 6ba06b
0 -9 0 6ba06b
1 -9 0 6ba06b
2 -9 0 6ba06b
3 -9 0 6ba06b
4 -9 0 6ba06b
5 -9 0 6ba06b
6 -9 0 6ba06b
7 -9 0 6ba06b
8 -9 0 6ba06b
9 -9 0 6ba06b
10 -9 0 6ba06b
11 -9 0 6ba06b
12 -9 0 6ba06b
13 -9 0 6ba06b
14 -9 0 6ba06b
15 -9 0 6ba06b
0 -8 0 6ba06b
1 -8 0 6ba06b
2 -8 0 6ba06b
3 -8 0 6ba06b
4 -8 0 6ba06b
5 -8 0 6ba06b
6 -8 0 6ba06b
7 -8 0 6ba06b
8 -8 0 6ba06b
9 -8 0 6ba06b
10 -8 0 6ba06b
11 -8 0 6ba06b
12 -8 0 6ba06b
13 -8 0 6ba06b
14 -8 0 6ba06b
15 -8 0 6ba06b
0 -7 0 6ba06b
1 -7 0 6ba06b
2 -7 0 6ba06b
3 -7 0 6ba06b
4 -7 0 6ba06b
5 -7 0 6ba06b
6 -7 0 6ba06b
7 -7 0 6ba06b
8 -7 0 6ba06b
9 -7 0 6ba06b
10 -7 0 6ba06b
11 -7 0 6ba06b
12 -7 0 6ba06b
13 -7 0 6ba06b
14 -7 0 6ba06b
15 -7 0 6ba06b
0 -6 0 6ba06b
1 -6 0 6ba06b
2 -6 0 6ba06b
3 -6 0 6ba06b
4 -6 0 6ba06b
5 -6 0 6ba06b
6 -6 0 6ba06b
7 -6 0 6ba06b
8 -6 0 6ba06b
9 -6 0 6ba06b
10 -6 0 6ba06b
11 -6 0 6ba06b
12 -6 0 6ba06b
13 -6 0 6ba06b
14 -6 0 6ba06b
15 -6 0 6ba06b
0 -5 0 6ba06b
1 -5 0 6ba06b
2 -5 0 6ba06b
3 -5 0 6ba06b
4 -5 0 6ba06b
5 -5 0 6ba06b
6 -5 0 6ba06b
7 -5 0 6ba06b
8 -5 0 6ba06b
9 -5 0 6ba06b
10 -5 0 6ba06b
11 -5 0 6ba06b
12 -5 0 6ba06b
13 -5 0 6ba06b
14 -5 0 6ba06b
15 -5 0 6ba06b
0 -4 0 6ba06b
1 -4 0 6ba06b
2 -4 0 6ba06b
3 -4 0 6ba06b
4 -4 0 6ba06b
5 -4 0 6ba06b
6 -4 0 6ba06b
7 -4 0 6ba06b
8 -4 0 6ba06b
9 -4 0 6ba06b
10 -4 0 6ba06b
11 -4 0 6ba06b
12 -4 0 6ba06b
13 -4 0 6ba06b
14 -4 0 6ba06b
15 -4 0 6ba06b
0 -3 0 6ba06b
1 -3 0 6ba06b
2 -3 0 6ba06b
14 -3 0 6ba06b
15 -3 0 6ba06b
15 -2 0 6ba06b
4 -4 1 6a6a6a
5 -4 1 6a6a6a
6 -4 1 6a6a6a
7 -4 1 6a6a6a
8 -4 1 6a6a6a
9 -4 1 6a6a6a
10 -4 1 6a6a6a
11 -4 1 6a6a6a
3 -3 1 6a6a6a
4 -3 1 6a6a6a
12 -3 1 6a6a6a
13 -3 1 6a6a6a
0 -2 1 6a6a6a
1 -2 1 6a6a6a
2 -2 1 6a6a6a
14 -2 1 6a6a6a
15 -2 1 6a6a6a
5 -3 2 6a6a6a
6 -3 2 6a6a6a
7 -3 2 6a6a6a
8 -3 2 6a6a6a
9 -3 2 6a6a6a
10 -3 2 6a6a6a
11 -3 2 6a6a6a
12 -3 2 6a6a6a
1 -2 2 6a6a6a
2 -2 2 6a6a6a
3 -2 2 6a6a6a
4 -2 2 6a6a6a
13 -2 2 6a6a6a
14 -2 2 6a6a6a
15 -2 2 6a6a6a
0 -1 2 6a6a6a
2 -2 3 6a6a6a
3 -2 3 6a6a6a
4 -2 3 6a6a6a
5 -2 3 6a6a6a
6 -2 3 6a6a6a
7 -2 3 6a6a6a
8 -2 3 6a6a6a
9 -2 3 6a6a6a
10 -2 3 6a6a6a
11 -2 3 6a6a6a
12 -2 3 6a6a6a
13 -2 3 6a6a6a
14 -2 3 6a6a6a
15 -2 3 6a6a6a
0 -1 3 6a6a6a
1 -1 3 6a6a6a
2 -2 4 6a6a6a
3 -2 4 6a6a6a
4 -2 4 6a6a6a
5 -2 4 6a6a6a
6 -2 4 6a6a6a
7 -2 4 6a6a6a
8 -2 4 6a6a6a
9 -2 4 6a6a6a
10 -2 4 6a6a6a
11 -2 4 6a6a6a
12 -2 4 6a6a6a
13 -2 4 6a6a6a
14 -2 4 6a6a6a
15 -2 4 6a6a6a
0 -1 4 6a6a6a
1 -1 4 6a6a6a
3 -2 5 6a6a6a
4 -2 5 6a6a6a
5 -2 5 6a6a6a
6 -2 5 6a6a6a
7 -2 5 6a6a6a
8 -2 5 6a6a6a
9 -2 5 6a6a6a
10 -2 5 6a6a6a
11 -2 5 6a6a6a
12 -2 5 6a6a6a
13 -2 5 6a6a6a
14 -2 5 6a6a6a
15 -2 5 6a6a6a
0 -1 5 6a6a6a
1 -1 5 6a6a6a
2 -1 5 6a6a6a
-16 0 0 6ba06b
-15 0 0 6ba06b
-14 0 0 6ba06b
-13 0 0 6ba06b
-12 0 0 6ba06b
-11 0 0 6ba06b
-10 0 0 6ba06b
-9 0 0 6ba06b
-8 0 0 6ba06b
-7 0 0 6ba06b
-6 0 0 6ba06b
-5 0 0 6ba06b
-16 1 0 6ba06b
-15 1 0 6ba06b
-14 1 0 6ba06b
-13 1 0 6ba06b
-12 1 0 6ba06b
-11 1 0 6ba06b
-10 1 0 6ba06b
-9 1 0 6ba06b
-8 1 0 6ba06b
-7 1 0 6ba06b
-6 1 0 6ba06b
-16 2 0 6ba06b
-15 2 0 6ba06b
-14 2 0 6ba06b
-13 2 0 6ba06b
-12 2 0 6ba06b
-11 2 0 6ba06b
-10 2 0 6ba06b
-9 2 0 6ba06b
-8 2 0 6ba06b
-7 2 0 6ba06b
-6 2 0 6ba06b
-16 3 0 6ba06b
-15 3 0 6ba06b
-14 3 0 6ba06b
-13 3 0 6ba06b
-12 3 0 6ba06b
-11 3 0 6ba06b
-10 3 0 6ba06b
-9 3 0 6ba06b
-8 3 0 6ba06b
-7 3 0 6ba06b
-6 3 0 6ba06b
-16 4 0 6ba06b
-15 4 0 6ba06b
-14 4 0 6ba06b
-13 4 0 6ba06b
-12 4 0 6ba06b
-11 4 0 6ba06b
-10 4 0 6ba06b
-9 4 0 6ba06b
-8 4 0 6ba06b
-7 4 0 6ba06b
-6 4 0 6ba06b
-16 5 0 6ba06b
-15 5 0 6ba06b
-14 5 0 6ba06b
-13 5 0 6ba06b
-12 5 0 6ba06b
-11 5 0 6ba06b
-10 5 0 6ba06b
-9 5 0 6ba06b
-8 5 0 6ba06b
-7 5 0 6ba06b
-6 5 0 6ba06b
-16 6 0 6ba06b
-15 6 0 6ba06b
-14 6 0 6ba06b
-13 6 0 6ba06b
-12 6 0 6ba06b
-11 6 0 6ba06b
-10 6 0 6ba06b
-9 6 0 6ba06b
-8 6 0 6ba06b
-7 6 0 6ba06b
-16 7 0 6ba06b
-15 7 0 6ba06b
-14 7 0 6ba06b
-13 7 0 6ba06b
-12 7 0 6ba06b
-11 7 0 6ba06b
-10 7 0 6ba06b
-9 7 0 6ba06b
-8 7 0 6ba06b
-7 7 0 6ba06b
-16 8 0 6ba06b
-15 8 0 6ba06b
-14 8 0 6ba06b
-13 8 0 6ba06b
-12 8 0 6ba06b
-11 8 0 6ba06b
-10 8 0 6ba06b
-9 8 0 6ba06b
-8 8 0 6ba06b
-7 8 0 6ba06b
-16 9 0 6ba06b
-15 9 0 6ba06b
-14 9 0 6ba06b
-13 9 0 6ba06b
-12 9 0 6ba06b
-11 9 0 6ba06b
-10 9 0 6ba06b
-9 9 0 6ba06b
-8 9 0 6ba06b
-7 9 0 6ba06b
-16 10 0 6ba06b
-15 10 0 6ba06b
-14 10 0 6ba06b
-13 10 0 6ba06b
-12 10 0 6ba06b
-11 10 0 6ba06b
-10 10 0 6ba06b
-9 10 0 6ba06b
-8 10 0 6ba06b
-7 10 0 6ba06b
-16 11 0 6ba06b
-15 11 0 6ba06b
-14 11 0 6ba06b
-13 11 0 6ba06b
-12 11 0 6ba06b
-11 11 0 6ba06b
-10 11 0 6ba06b
-9 11 0 6ba06b
-8 11 0 6ba06b
-7 11 0 6ba06b
-6 11 0 6ba06b
-16 12 0 6ba06b
-15 12 0 6ba06b
-14 12 0 6ba06b
-13 12 0 6ba06b
-12 12 0 6ba06b
-11 12 0 6ba06b
-10 12 0 6ba06b
-9 12 0 6ba06b
-8 12 0 6ba06b
-7 12 0 6ba06b
-6 12 0 6ba06b
-16 13 0 6ba06b
-15 13 0 6ba06b
-14 13 0 6ba06b
-13 13 0 6ba06b
-12 13 0 6ba06b
-11 13 0 6ba06b
-10 13 0 6ba06b
-9 13 0 6ba06b
-8 13 0 6ba06b
-7 13 0 6ba06b
-6 13 0 6ba06b
-16 14 0 6ba06b
-15 14 0 6ba06b
-14 14 0 6ba06b
-13 14 0 6ba06b
-12 14 0 6ba06b
-11 14 0 6ba06b
-10 14 0 6ba06b
-9 14 0 6ba06b
-8 14 0 6ba06b
-7 14 0 6ba06b
-6 14 0 6ba06b
-16 15 0 6ba06b
-15 15 0 6ba06b
-14 15 0 6ba06b
-13 15 0 6ba06b
-12 15 0 6ba06b
-11 15 0 6ba06b
-10 15 0 6ba06b
-9 15 0 6ba06b
-8 15 0 6ba06b
-7 15 0 6ba06b
-6 15 0 6ba06b
-5 15 0 6ba06b
-4 0 1 6a6a6a
-3 0 1 6a6a6a
-5 1 1 6a6a6a
-5 2 1 6a6a6a
-5 3 1 6a6a6a
-5 4 1 6a6a6a
-5 5 1 6a6a6a
-6 6 1 6a6a6a
-6 7 1 6a6a6a
-6 8 1 6a6a6a
-6 9 1 6a6a6a
-6 10 1 6a6a6a
-6 11 1 6a6a6a
-5 11 1 6a6a6a
-6 12 1 6a6a6a
-5 12 1 6a6a6a
-6 13 1 6a6a6a
-5 13 1 6a6a6a
-6 14 1 6a6a6a
-5 14 1 6a6a6a
-4 15 1 6a6a6a
-3 0 2 6a6a6a
-4 1 2 6a6a6a
-5 2 2 6a6a6a
-5 3 2 6a6a6a
-5 4 2 6a6a6a
-5 5 2 6a6a6a
-5 6 2 6a6a6a
-5 7 2 6a6a6a
-5 8 2 6a6a6a
-5 9 2 6a6a6a
-5 10 2 6a6a6a
-4 11 2 6a6a6a
-4 12 2 6a6a6a
-4 13 2 6a6a6a
-4 14 2 6a6a6a
-4 15 2 6a6a6a
-3 0 3 6a6a6a
-4 1 3 6a6a6a
-4 2 3 6a6a6a
-4 3 3 6a6a6a
-4 4 3 6a6a6a
-4 5 3 6a6a6a
-4 6 3 6a6a6a
-4 7 3 6a6a6a
-4 8 3 6a6a6a
-4 9 3 6a6a6a
-4 10 3 6a6a6a
-4 11 3 6a6a6a
-4 12 3 6a6a6a
-4 13 3 6a6a6a
-4 14 3 6a6a6a
-4 15 3 6a6a6a
-3 0 4 6a6a6a
-3 1 4 6a6a6a
-4 2 4 6a6a6a
-4 3 4 6a6a6a
-4 4 4 6a6a6a
-4 5 4 6a6a6a
-4 6 4 6a6a6a
-4 7 4 6a6a6a
-4 8 4 6a6a6a
-4 9 4 6a6a6a
-4 10 4 6a6a6a
-4 11 4 6a6a6a
-4 12 4 6a6a6a
-4 13 4 6a6a6a
-4 14 4 6a6a6a
-4 15 4 6a6a6a
-3 0 5 6a6a6a
-3 1 5 6a6a6a
-4 2 5 6a6a6a
-4 3 5 6a6a6a
-4 4 5 6a6a6a
-4 5 5 6a6a6a
-4 6 5 6a6a6a
-4 7 5 6a6a6a
-4 8 5 6a6a6a
-4 9 5 6a6a6a
-4 10 5 6a6a6a
-4 11 5 6a6a6a
-4 12 5 6a6a6a
-4 13 5 6a6a6a
-4 14 5 6a6a6a
-4 15 5 6a6a6a
-1 2 6 6a6a6a
-2 3 6 6a6a6a
-1 3 6 6a6a6a
-2 4 6 6a6a6a
-3 5 6 6a6a6a
-3 6 6 6a6a6a
-3 7 6 6a6a6a
-2 8 6 6a6a6a
-1 8 6 6a6a6a
-2 9 6 6a6a6a
-1 9 6 6a6a6a
-1 10 6 6a6a6a
-1 11 6 6a6a6a
-1 12 6 6a6a6a
-1 13 6 6a6a6a
-1 4 7 6a6a6a
-2 5 7 6a6a6a
-2 6 7 6a6a6a
-2 7 7 6a6a6a
-1 8 7 6a6a6a
-1 9 7 6a6a6a
5 0 6 6a6a6a
6 0 6 6a6a6a
7 0 6 6a6a6a
8 0 6 6a6a6a
2 1 6 6a6a6a
3 1 6 6a6a6a
4 1 6 6a6a6a
5 1 6 6a6a6a
9 1 6 6a6a6a
10 1 6 6a6a6a
0 2 6 6a6a6a
1 2 6 6a6a6a
2 2 6 6a6a6a
11 2 6 6a6a6a
12 3 6 6a6a6a
13 3 6 6a6a6a
13 4 6 6a6a6a
14 4 6 6a6a6a
14 5 6 6a6a6a
15 5 6 6a6a6a
15 6 6 6a6a6a
0 10 6 6a6a6a
0 11 6 6a6a6a
0 12 6 6a6a6a
6 1 7 6a6a6a
7 1 7 6a6a6a
8 1 7 6a6a6a
3 2 7 6a6a6a
4 2 7 6a6a6a
5 2 7 6a6a6a
9 2 7 6a6a6a
10 2 7 6a6a6a
0 3 7 6a6a6a
1 3 7 6a6a6a
2 3 7 6a6a6a
11 3 7 6a6a6a
12 3 7 6a6a6a
13 4 7 6a6a6a
14 5 7 6a6a6a
0 10 7 6a6a6a
0 11 7 6a6a6a
0 12 7 6a6a6a
